stadiumId,tenantId,teamName,league,conference,conferenceAbbreviation,division,city,state,country,stadiumName,encompassingFacility,nonCorporateName,shortName,nickname,formerNames,surface,roof,constructionCost,renovations,artificialCapacity,capacity,openingDate,firstUsedDate,lastUsedDate,closingDate,active,activeForTeam,visited,visits,logoUrl,markerSizeX,markerSizeY,positionLat,positionLng,imageWithFans,imageEmpty,imageFacade,imageAerial,primaryFieldImage,primaryPerspectiveImage
red-bull-arena-nj-2010,NewYorkRedBulls,New York Red Bulls,MLS,Eastern Conference,Eastern,,Harrison,NJ,USA,Red Bull Arena,,,,,,Grass,Partial,200000000,,,25000,2010,2010,,,True,True,False,0,https://i.imgur.com/FOyH5uw.png,40,26,40.7368191910317,-74.1502355017504,https://i.imgur.com/FBic7E9.jpg,https://i.imgur.com/YNx2fI2.jpg,https://i.imgur.com/iCQbWmZ.jpg,https://i.imgur.com/oxNF5Lm.jpg,https://i.imgur.com/FBic7E9.jpg,https://i.imgur.com/oxNF5Lm.jpg
bc-place-vancouver-1983,VancouverWhitecaps,Vancouver Whitecaps FC,MLS,Western Conference,Western,,Vancouver,BC,Canada,BC Place,,,,,,Artificial turf,Retractable,126100000,514000000 (2011),54500,22120,1983,2011,,,True,True,False,0,https://i.imgur.com/kvyunuD.png,29,38,49.2767149814351,-123.112009730377,https://i.imgur.com/0uqGM1i.jpg,https://i.imgur.com/dKxdS6B.jpg,https://i.imgur.com/IopnWdJ.jpg,https://i.imgur.com/mfHWfFc.jpg,https://i.imgur.com/0uqGM1i.jpg,https://i.imgur.com/mfHWfFc.jpg
subaru-park-philadelphia-2010,PhiladelphiaUnion,Philadelphia Union,MLS,Eastern Conference,Eastern,,Chester,PA,USA,Subaru Park,,,,,PPL Park (2010-2015) --- Talen Energy Stadium (2016-2019) ,Grass,Partial,120000000,,,18500,2010,2010,,,True,True,False,0,https://i.imgur.com/yt0mZlU.png,32,32,39.8326547238581,-75.3784162594429,https://i.imgur.com/ntII0kq.jpg,https://i.imgur.com/fXNsZXo.jpg,https://i.imgur.com/b2FJUv0.png,https://i.imgur.com/ssFLvfM.jpg,https://i.imgur.com/fXNsZXo.jpg,https://i.imgur.com/ssFLvfM.jpg
pnc-stadium-houston-2012,HoustonDynamo,Houston Dynamo FC,MLS,Western Conference,Western,,Houston,TX,USA,PNC Stadium,,,,,BBVA Compass Stadium (2012-2019) --- BBVA Stadium (2019-2021) ,Grass,Partial,95000000,,,22039,2012,2012,,,True,True,False,0,https://i.imgur.com/mUQUSgg.png,30,37,29.7521316236544,-95.3522386866158,https://i.imgur.com/Qse8N1J.jpg,https://i.imgur.com/A26UbHE.jpg,https://i.imgur.com/J9mOte0.jpg,https://i.imgur.com/nSSLuUf.jpg,https://i.imgur.com/A26UbHE.jpg,https://i.imgur.com/nSSLuUf.jpg
toyota-stadium-dallas-2005,FCDallas,FC Dallas,MLS,Western Conference,Western,,Frisco,TX,USA,Toyota Stadium,,,,,Pizza Hut Park (2005-2012) --- FC Dallas Stadium (2012-2013) ,Grass,Open,80000000,55000000 (2018),,19096,2005,2005,,,True,True,False,0,https://i.imgur.com/H68llNT.png,32,32,33.1543019163922,-96.8351956153945,https://i.imgur.com/8pEvhOg.jpg,https://i.imgur.com/3eZBRzt.jpg,https://i.imgur.com/EPYwBW3.jpg,https://i.imgur.com/d1A123A.jpg,https://i.imgur.com/8pEvhOg.jpg,https://i.imgur.com/d1A123A.jpg
bank-of-america-stadium-charlotte-1996,CharlotteFC,Charlotte FC,MLS,Eastern Conference,Eastern,,Charlotte,NC,USA,Bank of America Stadium,,,,,Ericsson Stadium (1996-2004),Artificial turf,Open,248000000,,74867,38000,1996,2022,,,True,True,False,0,https://i.imgur.com/9hQcdkx.png,32,32,35.2257707159798,-80.8529435441922,https://i.imgur.com/VIzM3pD.jpg,https://i.imgur.com/Tv7FAqP.jpg,https://i.imgur.com/0EhPQaX.jpg,https://i.imgur.com/sUzfK8W.jpg,https://i.imgur.com/Tv7FAqP.jpg,https://i.imgur.com/sUzfK8W.jpg
drv-pnk-stadium-miami-2020,InterMiami,Inter Miami CF,MLS,Eastern Conference,Eastern,,Fort Lauderdale,FL,USA,DRV PNK Stadium,,,,,Inter Miami CF Stadium (2020-2021),Grass,Partial,60000000,,,18000,2020,2020,,,True,True,False,0,https://i.imgur.com/5bWktSl.png,32,32,26.1931030562584,-80.1610136731775,https://i.imgur.com/7mGxd6V.jpg,https://i.imgur.com/Lrb04nh.jpg,https://i.imgur.com/R5wZ0va.jpg,https://i.imgur.com/9ZXQG0y.jpg,https://i.imgur.com/7mGxd6V.jpg,https://i.imgur.com/9ZXQG0y.jpg
childrens-mercy-park-kansas-city-2011,SportingKansasCity,Sporting Kansas City,MLS,Western Conference,Western,,Kansas City,KS,USA,Children's Mercy Park,,,,,Livestrong Sporting Park (2011-2013) --- Sporting Park (2013-2015),Grass,Partial,200000000,,,18467,2011,2011,,,True,True,True,2,https://i.imgur.com/sZFTSeX.png,31,35,39.1215679088635,-94.8231552441131,https://i.imgur.com/kabRx66.png,https://i.imgur.com/B6z8llV.jpg,https://i.imgur.com/SwTciaa.jpg,https://i.imgur.com/TpyqULs.jpg,https://i.imgur.com/kabRx66.png,https://i.imgur.com/TpyqULs.jpg
dignity-health-sports-park-los-angeles-2003,LAGalaxy,LA Galaxy,MLS,Western Conference,Western,,Carson,CA,USA,Dignity Health Sports Park,,,,,Home Depot Center (2003-2013) --- StubHub Center (2013-2018),Grass,Partial,150000000,,,27000,2003,2003,,,True,True,False,0,https://i.imgur.com/KsTwyxz.png,30,38,33.8643242278444,-118.261164059563,https://i.imgur.com/ooG8jWP.jpg,https://i.imgur.com/QOBysWG.jpg,https://i.imgur.com/FLyJMvg.jpg,https://i.imgur.com/8f88jzs.jpg,https://i.imgur.com/ooG8jWP.jpg,https://i.imgur.com/8f88jzs.jpg
yankee-stadium-new-york-2009,NYCFC,New York City FC,MLS,Eastern Conference,Eastern,,New York City,NY,USA,Yankee Stadium,,,,,,Grass,Open,2300000000,,47309,30321,2009,2015,,,True,True,False,0,https://i.imgur.com/Ffy9HIh.png,32,32,40.8296506972683,-73.9261637729121,https://i.imgur.com/lVhNiVy.jpg,https://i.imgur.com/X16U7Lk.jpg,https://i.imgur.com/vjLBd1Q.jpg,https://i.imgur.com/dOJC8gp.jpg,https://i.imgur.com/lVhNiVy.jpg,https://i.imgur.com/dOJC8gp.jpg
